number,value,datetime_start,datetime_complete,duration,params_possession_threshold,state
0,0.13324007307419775,2023-06-19 01:39:15.377084,2023-06-19 02:11:50.199018,0 days 00:32:34.821934,111,COMPLETE
1,0.13070156088982698,2023-06-19 01:39:15.379343,2023-06-19 02:11:42.223727,0 days 00:32:26.844384,108,COMPLETE
2,0.23161042116439828,2023-06-19 01:39:15.397528,2023-06-19 02:10:38.075163,0 days 00:31:22.677635,63,COMPLETE
3,0.16022693502459373,2023-06-19 01:39:15.401791,2023-06-19 02:11:33.270697,0 days 00:32:17.868906,125,COMPLETE
4,0.12950053483705365,2023-06-19 01:39:15.405494,2023-06-19 02:10:52.343383,0 days 00:31:36.937889,104,COMPLETE
5,0.12950053483705365,2023-06-19 01:39:15.407477,2023-06-19 02:11:52.772615,0 days 00:32:37.365138,104,COMPLETE
6,0.24874549780640037,2023-06-19 01:39:15.410925,2023-06-19 02:10:23.174592,0 days 00:31:07.763667,60,COMPLETE
7,0.15808809432545567,2023-06-19 01:39:15.416726,2023-06-19 02:10:50.692165,0 days 00:31:35.275439,80,COMPLETE
8,0.13138566078543218,2023-06-19 01:39:15.419473,2023-06-19 02:10:22.724861,0 days 00:31:07.305388,102,COMPLETE
9,0.21239873153724348,2023-06-19 01:39:15.436804,2023-06-19 02:11:18.010309,0 days 00:32:02.573505,66,COMPLETE
10,0.32079032456168866,2023-06-19 01:39:15.442670,2023-06-19 02:10:44.498221,0 days 00:31:29.055551,51,COMPLETE
11,0.15127523722274325,2023-06-19 01:39:15.450587,2023-06-19 02:11:33.452000,0 days 00:32:18.001413,84,COMPLETE
12,0.32079032456168866,2023-06-19 02:10:22.735658,2023-06-19 02:41:36.951884,0 days 00:31:14.216226,51,COMPLETE
13,0.1287507313915762,2023-06-19 02:10:23.188505,2023-06-19 02:41:35.868457,0 days 00:31:12.679952,89,COMPLETE
14,0.16772986846175303,2023-06-19 02:10:38.091131,2023-06-19 02:42:10.097860,0 days 00:31:32.006729,77,COMPLETE
15,0.12925138465870215,2023-06-19 02:10:44.507288,2023-06-19 02:42:13.663672,0 days 00:31:29.156384,96,COMPLETE
16,0.18268891503470447,2023-06-19 02:10:50.705110,2023-06-19 02:42:24.089672,0 days 00:31:33.384562,73,COMPLETE
17,0.13271238378709516,2023-06-19 02:10:52.358598,2023-06-19 02:42:26.499934,0 days 00:31:34.141336,88,COMPLETE
18,0.30450934276070507,2023-06-19 02:11:18.020535,2023-06-19 02:43:12.107105,0 days 00:31:54.086570,53,COMPLETE
19,0.15127523722274325,2023-06-19 02:11:33.283719,2023-06-19 02:43:42.271601,0 days 00:32:08.987882,84,COMPLETE
20,0.32079032456168866,2023-06-19 02:11:33.460960,2023-06-19 02:43:42.366744,0 days 00:32:08.905784,51,COMPLETE
21,0.12950053483705365,2023-06-19 02:11:42.237254,2023-06-19 02:43:58.423990,0 days 00:32:16.186736,104,COMPLETE
22,0.13138566078543218,2023-06-19 02:11:50.211486,2023-06-19 02:44:07.215301,0 days 00:32:17.003815,102,COMPLETE
23,0.12866220621777694,2023-06-19 02:11:52.782599,2023-06-19 02:44:09.541467,0 days 00:32:16.758868,97,COMPLETE
24,0.13186379136247167,2023-06-19 02:41:35.873514,2023-06-19 02:58:24.485946,0 days 00:16:48.612432,95,COMPLETE
25,0.13125009392697387,2023-06-19 02:41:36.962503,2023-06-19 02:58:25.685970,0 days 00:16:48.723467,93,COMPLETE
26,0.13125009392697387,2023-06-19 02:42:10.106387,2023-06-19 02:58:43.172276,0 days 00:16:33.065889,93,COMPLETE
27,0.13125009392697387,2023-06-19 02:42:13.669752,2023-06-19 02:58:39.037419,0 days 00:16:25.367667,93,COMPLETE
28,0.13125009392697387,2023-06-19 02:42:24.098388,2023-06-19 02:58:43.495774,0 days 00:16:19.397386,93,COMPLETE
29,0.1316767541136719,2023-06-19 02:42:26.509751,2023-06-19 02:58:43.282528,0 days 00:16:16.772777,91,COMPLETE
